product_title,product_brand,product_price,product_currency,pre_price,discount
,Nike,31.87,BHD,,-35%
,Adidas,13.55,BHD,,-38%
,SKECHERS,12.07,BHD,,-27%
,Nike,20.26,BHD,,-34%
,Adidas,23.79,BHD,,
,Adidas,24.93,BHD,,
,PUMA,40.87,BHD,,
,PUMA,21.52,BHD,,
,Adidas,30.62,BHD,,
,asics,44.96,BHD,,
,Nike,44.28,BHD,,
,Nike,46.55,BHD,,
,Nike,67.04,BHD,,
,Jordan,69.32,BHD,,
,Nike,52.93,BHD,,-25%
,speedo,10.36,BHD,,-6%
,Nike,52.25,BHD,,
,PUMA,51.11,BHD,,
,Adidas,30.62,BHD,,
,Jordan,46.55,BHD,,
,Adidas,29.48,BHD,,
,crocs,18.1,BHD,,
,crocs,18.1,BHD,,
,asics,28.46,BHD,,
,Jordan,52.25,BHD,,
,Nike,55.66,BHD,,
,Nike,38.59,BHD,,
,PUMA,35.17,BHD,,
,adidas Originals,22.65,BHD,,-26%
,PUMA,31.76,BHD,,
,Adidas,35.17,BHD,,
,Nike,31.87,BHD,,-35%
,Adidas,13.55,BHD,,-38%
,Nike,20.26,BHD,,-34%
,Nike,20.26,BHD,,-34%
,PUMA,7.06,BHD,,-35%
,Nike,20.26,BHD,,-34%
,adidas Originals,30.16,BHD,,-45%
,Adidas,15.37,BHD,,-41%
,U.S. Polo Assn.,20.1,BHD,,-40%
,U.S. Polo Assn.,14.14,BHD,,-58%
,Adidas,24.93,BHD,,
,PUMA,28.34,BHD,,
,PUMA,55.66,BHD,,
,asics,31.3,BHD,,
,Adidas,29.48,BHD,,
,adidas Originals,49.97,BHD,,
,Reserved,18.56,BHD,,
,Adidas,29.48,BHD,,
,New Balance,57.94,BHD,,
,Jordan,49.97,BHD,,
,Adidas,29.48,BHD,,
,SKECHERS,21.52,BHD,,
,crocs,18.1,BHD,,
,Nike,40.87,BHD,,
,Nike,44.28,BHD,,
,Jordan,40.87,BHD,,
,Jordan,55.66,BHD,,
,Nike,63.63,BHD,,
,asics,28.46,BHD,,
,Adidas,35.17,BHD,,
,Nike,35.17,BHD,,
,Nike,61.35,BHD,,
,Nike,40.87,BHD,,
,New Balance,57.94,BHD,,
,Reebok,21.85,BHD,,-39%
,Adidas,30.62,BHD,,
,Adidas,28.34,BHD,,
,Jordan,40.87,BHD,,
,Nike,28.69,BHD,,-24%
,Jordan,72.73,BHD,,
,Adidas,22.65,BHD,,
,Adidas,21.17,BHD,,-22%
,Adidas,52.36,BHD,,
,Nike,49.97,BHD,,
,PUMA,55.66,BHD,,
,Nike,52.25,BHD,,
,Adidas,20.38,BHD,,
,Jordan,72.73,BHD,,
,Jordan,40.87,BHD,,
,Nike,35.17,BHD,,
,Adidas,30.62,BHD,,
,UNDER ARMOUR,22.54,BHD,,-17%
,crocs,21.52,BHD,,
,Nike,35.17,BHD,,
,crocs,23.79,BHD,,
,Nike,61.35,BHD,,
